# Wo,Ar,sample_sigma,prediction,abs_error,rel_error
3.704145365290316239e+00,1.828296959335847660e+01,4.935813201252571503e+00,5.643914699554443359e+00,-7.081012725830078125e-01,-1.434619277715682983e-01
9.656764608162083929e-01,1.529261797368167031e+01,1.583617142407722689e+01,9.835107803344726562e+00,6.001063346862792969e+00,3.789466023445129395e-01
1.987681317345132703e-01,6.127789610383616470e+00,3.082883335930462110e+01,2.464982604980468750e+01,6.179006576538085938e+00,2.004294693470001221e-01
3.281735450479926097e+00,2.728272070560203044e+00,8.313503972909260797e-01,3.469687938690185547e+00,-2.638337612152099609e+00,-3.173556804656982422e+00
8.022046916362390867e-01,2.541389608449919901e+00,3.168006414006759197e+00,5.063836097717285156e+00,-1.895829677581787109e+00,-5.984298586845397949e-01
6.646118521991203343e-01,1.411346477975822911e+00,2.123565015137554468e+00,2.494993209838867188e+00,-3.714282512664794922e-01,-1.749078780412673950e-01
3.782227838196403624e-01,6.012846789009109294e+00,1.589763241729086474e+01,2.180392837524414062e+01,-5.906295776367187500e+00,-3.715204596519470215e-01
3.018493635980629697e-01,6.112039903693935905e+00,2.024864267009890284e+01,2.326402091979980469e+01,-3.015378952026367188e+00,-1.489175856113433838e-01
1.665952926192441730e+00,1.399782527227817042e+01,8.402293397491362725e+00,1.062918758392333984e+01,-2.226894378662109375e+00,-2.650341093540191650e-01
1.984008155719111655e-01,8.408682485973216103e+00,4.238229798468472609e+01,3.531378555297851562e+01,7.068511962890625000e+00,1.667798161506652832e-01
3.217934802393256355e+00,7.335135542756463067e+00,2.279454368466740100e+00,4.723971366882324219e+00,-2.444516897201538086e+00,-1.072413086891174316e+00
6.125038307507891133e+00,2.036253804286144664e+00,3.324475214775660659e-01,-1.558947443962097168e+00,1.891394972801208496e+00,5.689303874969482422e+00
2.911644066536505981e+00,1.132231897874717141e+01,3.888634297328599665e+00,5.894969463348388672e+00,-2.006335258483886719e+00,-5.159485936164855957e-01
5.806577146336537432e+00,2.709062896641039941e+00,4.665507455369350964e-01,-2.491468906402587891e+00,2.958019733428955078e+00,6.340188503265380859e+00
1.992592639265508836e-01,2.418168390081311347e+00,1.213578903399278985e+01,5.031381130218505859e+00,7.104407787322998047e+00,5.854096412658691406e-01
1.797880013032079116e+00,1.204833379499451951e+01,6.701411500022911305e+00,8.315266609191894531e+00,-1.613854885101318359e+00,-2.408231198787689209e-01
6.784675652197935669e-01,1.026962105845656170e+00,1.513649522085798393e+00,4.171341896057128906e+00,-2.657692432403564453e+00,-1.755817651748657227e+00
4.100161701709379436e-01,1.582987340189580117e+01,3.860792464671879287e+01,1.630114746093750000e+01,2.230677795410156250e+01,5.777771472930908203e-01
1.130831767093045892e+00,9.258853930570420943e+00,8.187649303814255930e+00,1.260215473175048828e+01,-4.414505004882812500e+00,-5.391663312911987305e-01
2.432785077573845101e+00,1.733012203692900144e+01,7.123572976784240396e+00,5.936559200286865234e+00,1.187013626098632812e+00,1.666317880153656006e-01
3.977720921926639175e+00,9.061880439829611333e+00,2.278158930124344117e+00,3.129184007644653320e+00,-8.510251045227050781e-01,-3.735582828521728516e-01
